cycle,state,candidate_name,poll_pct,result_pct,bias,party,Electors
2004,Missouri,George W. Bush,51.334822,53.29619193926551,1.9613699392655093,REP,10
2020,Ohio,Donald Trump,47.52678,53.2713,5.744519999999994,REP,18
2008,North Dakota,John McCain,45.864838,53.25010027761898,7.385262277618978,REP,3
2008,South Dakota,John McCain,51.975234,53.15897637279927,1.1837423727992729,REP,3
2020,Maine,Joseph R. Biden Jr.,53.32106,53.09246,-0.2286000000000001,DEM,4
2020,Iowa,Donald Trump,47.59527,53.089325,5.494055000000003,REP,6
2016,Delaware,Hillary Rodham Clinton,50.40621,53.08597745902562,2.6797674590256193,DEM,3
2012,New Mexico,Barack Obama,50.054628,52.99276052046677,2.938132520466766,DEM,5
2004,New Jersey,John Kerry,49.083477,52.92340900702746,3.839932007027457,DEM,14
2020,Alaska,Donald Trump,51.23236,52.833143,1.6007829999999998,REP,3
2004,Washington,John Kerry,51.776329,52.82114831183694,1.044819311836946,DEM,12
2012,Wisconsin,Barack Obama,49.939508,52.77616253515459,2.8366545351545938,DEM,10
2020,New Hampshire,Joseph R. Biden Jr.,53.91761,52.708306,-1.209304000000003,DEM,4
2012,Minnesota,Barack Obama,50.907096,52.65230315324626,1.7452071532462554,DEM,10
2008,Virginia,Barack Obama,50.37682,52.62946987317566,2.252649873175656,DEM,13
2016,Washington,Hillary Rodham Clinton,50.27225,52.53868006182659,2.26643006182659,DEM,12
2020,Minnesota,Joseph R. Biden Jr.,51.84517,52.395099,0.5499289999999988,DEM,10
2012,Nevada,Barack Obama,49.909169,52.35624947040056,2.4470804704005644,DEM,6
2016,Texas,Donald Trump,48.41615,52.23468557933538,3.818535579335375,REP,38
2008,Georgia,John McCain,50.098078,52.20451799292952,2.1064399929295163,REP,16
2004,Florida,George W. Bush,47.977726,52.09751623233695,4.119790232336953,REP,29
2020,Texas,Donald Trump,48.58794,52.057604,3.4696639999999945,REP,38
2012,Iowa,Barack Obama,48.048854,51.98801653414908,3.9391625341490837,DEM,6
2012,New Hampshire,Barack Obama,48.524779,51.97968415071198,3.45490515071198,DEM,4
2012,Pennsylvania,Barack Obama,49.942566,51.97159378275084,2.0290277827508376,DEM,20
2004,Colorado,George W. Bush,49.633177,51.7110953545921,2.0779183545921,REP,9
2016,Ohio,Donald Trump,45.65381,51.68765067578619,6.0338406757861875,REP,18
2008,Ohio,Barack Obama,49.639836,51.50427006052537,1.8644340605253689,DEM,18
2012,Colorado,Barack Obama,48.238407,51.49214523168122,3.2537382316812185,DEM,9
2004,Oregon,John Kerry,50.594512,51.34866304221188,0.7541510422118805,DEM,7
2016,Alaska,Donald Trump,45.27321,51.281512077537286,6.008302077537287,REP,3
2004,Michigan,John Kerry,48.7171,51.23070672905647,2.5136067290564696,DEM,16
2020,Florida,Donald Trump,46.61909,51.21982,4.600729999999999,REP,29
2016,Iowa,Donald Trump,45.00726,51.16206134467737,6.154801344677367,REP,6
2012,Virginia,Barack Obama,48.277231,51.15645679621864,2.879225796218641,DEM,13
2004,Minnesota,John Kerry,48.195101,51.08968468600654,2.8945836860065413,DEM,10
2008,Florida,Barack Obama,48.152153,51.03330527066491,2.881152270664913,DEM,29
2004,Pennsylvania,John Kerry,48.735587,50.923809144150624,2.1882221441506218,DEM,20
2004,Ohio,George W. Bush,47.983387,50.8140243355296,2.8306373355296017,REP,18
2016,Georgia,Donald Trump,48.37956,50.771326054771,2.3917660547710042,REP,16
2012,Ohio,Barack Obama,49.131154,50.66674765831986,1.5355936583198613,DEM,18
2020,Michigan,Joseph R. Biden Jr.,51.15482,50.620818,-0.534002000000001,DEM,16
2004,Nevada,George W. Bush,50.371008,50.4696915453111,0.09868354531109702,REP,6
2012,North Carolina,Mitt Romney,49.569811,50.39306410214295,0.8232531021429494,REP,15
2004,New Hampshire,John Kerry,48.66531,50.24227651393311,1.5769665139331153,DEM,4
2016,Oregon,Hillary Rodham Clinton,46.03824,50.07185200286208,4.033612002862078,DEM,7
2020,Nevada,Joseph R. Biden Jr.,49.65657,50.056782,0.4002119999999962,DEM,6
2020,Pennsylvania,Joseph R. Biden Jr.,50.20422,50.008496,-0.1957239999999984,DEM,20
2012,Florida,Barack Obama,47.618476,50.007865068698685,2.3893890686986836,DEM,29
2008,Indiana,Barack Obama,47.019773,49.94591163968428,2.9261386396842823,DEM,11
2020,North Carolina,Donald Trump,47.12252,49.934351,2.811830999999998,REP,15
2004,Iowa,George W. Bush,47.446857,49.90065750530225,2.4538005053022474,REP,6
2004,New Mexico,George W. Bush,48.481365,49.8384247604138,1.3570597604138044,REP,5
2016,North Carolina,Donald Trump,45.36983,49.828094696180415,4.458264696180414,REP,15
2016,Virginia,Hillary Rodham Clinton,47.2853,49.72789199301014,2.44259199301014,DEM,13
2008,North Carolina,Barack Obama,48.383751,49.70438126291962,1.3206302629196216,DEM,15
2004,Wisconsin,John Kerry,46.410325,49.69971708441122,3.2893920844112188,DEM,10
2008,Montana,John McCain,49.894951,49.51295324106367,-0.38199775893632903,REP,3
2020,Georgia,Joseph R. Biden Jr.,48.54042,49.473056,0.9326360000000022,DEM,16
2020,Wisconsin,Joseph R. Biden Jr.,52.09584,49.449537,-2.646303000000003,DEM,10
2008,Missouri,John McCain,48.36635,49.42607441187882,1.0597244118788254,REP,10
2008,North Carolina,John McCain,47.541513,49.37550875257406,1.8339957525740616,REP,15
2020,Arizona,Joseph R. Biden Jr.,48.70539,49.364691,0.6593009999999992,DEM,11
